news_headline,news_article,news_category,full_text,clean_text
OPPO Reno2 series makes a global debut in India,"Engineered for Creativity, the OPPO Reno2 sports a 48MP Quad Camera with 20x Digital Zoom available at ₹36,990. It has Ultra Dark Mode and Ultra Steady Video Mode to redefine your camera experience. It comes with a Snapdragon 730G chipset paired with 8GB RAM, Dynamic AMOLED display and 4,000mAh battery. Choose your Reno from Reno2, Reno2Z and Reno2F.",technology,"OPPO Reno2 series makes a global debut in India. Engineered for Creativity, the OPPO Reno2 sports a 48MP Quad Camera with 20x Digital Zoom available at ₹36,990. It has Ultra Dark Mode and Ultra Steady Video Mode to redefine your camera experience. It comes with a Snapdragon 730G chipset paired with 8GB RAM, Dynamic AMOLED display and 4,000mAh battery. Choose your Reno from Reno2, Reno2Z and Reno2F.",oppo reno series make global debut india engineer creativity oppo reno sport mp quad camera x digital zoom available ultra dark mode ultra steady video mode redefine camera experience come snapdragon g chipset pair gb ram dynamic amoled display mah battery choose reno reno renoz renof
"OnePlus to invest ₹1,000 crore in Hyderabad R&D facility","Opening its first R&D centre in India, OnePlus said it plans to invest ₹1,000 crore in their facility in Hyderabad over the next three years, making it the company's biggest such centre globally. The facility will focus on five areas including network, software innovation and global carrier customisation, and will also contribute towards nurturing and giving opportunities to fresh talent.",technology,"OnePlus to invest ₹1,000 crore in Hyderabad R&D facility. Opening its first R&D centre in India, OnePlus said it plans to invest ₹1,000 crore in their facility in Hyderabad over the next three years, making it the company's biggest such centre globally. The facility will focus on five areas including network, software innovation and global carrier customisation, and will also contribute towards nurturing and giving opportunities to fresh talent.",oneplus invest crore hyderabad rd facility open first rd centre india oneplus say plan invest crore facility hyderabad next three year make company big centre globally facility focus five area include network software innovation global carrier customisation also contribute towards nurture give opportunity fresh talent
Ex-Google engineer charged with theft of self-driving car tech secrets,"US federal prosecutors on Tuesday charged former Google engineer Anthony Levandowski with 33 counts of theft and attempted theft of self-driving car technology secrets before he joined Uber. If convicted, he faces 10 years in jail, a $250,000 fine, plus restitution, for each violation. Levandowski was a founding member of the group that worked on Google's self-driving car project Waymo.",technology,"Ex-Google engineer charged with theft of self-driving car tech secrets. US federal prosecutors on Tuesday charged former Google engineer Anthony Levandowski with 33 counts of theft and attempted theft of self-driving car technology secrets before he joined Uber. If convicted, he faces 10 years in jail, a $250,000 fine, plus restitution, for each violation. Levandowski was a founding member of the group that worked on Google's self-driving car project Waymo.",ex google engineer charge theft self drive car tech secret us federal prosecutor tuesday charge former google engineer anthony levandowski count theft attempt theft self drive car technology secret join uber convict face year jail fine plus restitution violation levandowski found member group work google self drive car project waymo
"Apple, Samsung sued in US over handsets' radio frequency emissions","Apple and Samsung have been sued in the US over harmful radio frequency (RF) exposure. The lawsuit claims that the RF radiation emitted from their smartphones exceed legal limits set forth by the Federal Communications Commission (FCC). The devices mentioned in the lawsuit are Apple's iPhone 7 Plus, iPhone 8 and iPhone X, and Samsung's Galaxy S8 and Galaxy Note8.",technology,"Apple, Samsung sued in US over handsets' radio frequency emissions. Apple and Samsung have been sued in the US over harmful radio frequency (RF) exposure. The lawsuit claims that the RF radiation emitted from their smartphones exceed legal limits set forth by the Federal Communications Commission (FCC). The devices mentioned in the lawsuit are Apple's iPhone 7 Plus, iPhone 8 and iPhone X, and Samsung's Galaxy S8 and Galaxy Note8.",apple samsung sue us handset radio frequency emission apple samsung sue us harmful radio frequency rf exposure lawsuit claim rf radiation emit smartphone exceed legal limit set forth federal communication commission fcc device mention lawsuit apple iphone plus iphone iphone x samsung galaxy galaxy note
Still concerned: US lawmaker after Swiss meetings on Facebook's Libra,"Congresswoman Maxine Waters, the chair of the US House Financial Services Committee,  on Sunday said that she remained concerned about Facebook's plans for its digital currency Libra. She said this after meeting the government officials in Switzerland over Facebook's plans. ""My concerns remain with allowing a large tech company to create a privately controlled, alternative global currency,"" she said.",technology,"Still concerned: US lawmaker after Swiss meetings on Facebook's Libra. Congresswoman Maxine Waters, the chair of the US House Financial Services Committee,  on Sunday said that she remained concerned about Facebook's plans for its digital currency Libra. She said this after meeting the government officials in Switzerland over Facebook's plans. ""My concerns remain with allowing a large tech company to create a privately controlled, alternative global currency,"" she said.",still concerned us lawmaker swiss meeting facebook libra congresswoman maxine water chair us house financial service committee sunday say remain concerned facebook plan digital currency libra say meet government official switzerland facebook plan concern remain allow large tech company create privately control alternative global currency say
Apple fixes bug that allowed jailbreaking iPhones with updated iOS,"Apple has patched a security vulnerability after it accidentally reintroduced the same in the latest iOS 12.4 update. This comes days after a security hacker exploited the vulnerability and publicly released a 'jailbreak', which lets users run unsupported software and apps, for up-to-date iPhones. The flaw, found by a Google hacker, was earlier fixed in the iOS 12.3 version.",technology,"Apple fixes bug that allowed jailbreaking iPhones with updated iOS. Apple has patched a security vulnerability after it accidentally reintroduced the same in the latest iOS 12.4 update. This comes days after a security hacker exploited the vulnerability and publicly released a 'jailbreak', which lets users run unsupported software and apps, for up-to-date iPhones. The flaw, found by a Google hacker, was earlier fixed in the iOS 12.3 version.",apple fix bug allow jailbreake iphone update ios apple patch security vulnerability accidentally reintroduce late ios update come day security hacker exploit vulnerability publicly release jailbreak let us user run unsupported software app date iphone flaw find google hacker earlier fix ios version
"Google now 3rd in smart speaker market, loses to Baidu: Report","Chinese internet giant Baidu defeated Google to gain second place in the global smart speaker market in Q2 2019, despite having served just the Chinese market, a report by Canalys revealed. Baidu reportedly grew 3,700% by reaching a shipment of 45 lakh speakers in the quarter. The first place was retained by Amazon, which reportedly shipped 66 lakh units.",technology,"Google now 3rd in smart speaker market, loses to Baidu: Report. Chinese internet giant Baidu defeated Google to gain second place in the global smart speaker market in Q2 2019, despite having served just the Chinese market, a report by Canalys revealed. Baidu reportedly grew 3,700% by reaching a shipment of 45 lakh speakers in the quarter. The first place was retained by Amazon, which reportedly shipped 66 lakh units.",google rd smart speaker market lose baidu report chinese internet giant baidu defeat google gain second place global smart speaker market q despite serve chinese market report canalys reveal baidu reportedly grow reach shipment lakh speaker quarter first place retain amazon reportedly ship lakh unit
Hackers break fixed Tesla car bug that let them get in without key,"Security hackers from Belgian university KU Leuven revealed that a vulnerability found by them last year, which was fixed by Tesla, could still be exploited. They had broken the 40-bit encryption of a Tesla Model S key fob to get inside the car without using the original key. They now broke the updated 80-bit encryption by cracking two 40-bit keys.",technology,"Hackers break fixed Tesla car bug that let them get in without key. Security hackers from Belgian university KU Leuven revealed that a vulnerability found by them last year, which was fixed by Tesla, could still be exploited. They had broken the 40-bit encryption of a Tesla Model S key fob to get inside the car without using the original key. They now broke the updated 80-bit encryption by cracking two 40-bit keys.",hacker break fix tesla car bug let get without key security hacker belgian university ku leuven reveal vulnerability find last year fix tesla could still exploit break bit encryption tesla model key fob get inside car without use original key break update bit encryption crack two bit key
"Bezos' wealth slumps $16bn in 2019, Gates $4bn away from being richest","Amazon Founder and the world's richest person Jeff Bezos' wealth slumped nearly $16 billion to $109 billion this year, according to Bloomberg Billionaires Index. The world's second-richest person and Microsoft Co-founder Bill Gates, with $105 billion wealth, is $4 billion away from regaining the world's richest person title. Notably, Gates added $14.2 billion to his net worth this year.",technology,"Bezos' wealth slumps $16bn in 2019, Gates $4bn away from being richest. Amazon Founder and the world's richest person Jeff Bezos' wealth slumped nearly $16 billion to $109 billion this year, according to Bloomberg Billionaires Index. The world's second-richest person and Microsoft Co-founder Bill Gates, with $105 billion wealth, is $4 billion away from regaining the world's richest person title. Notably, Gates added $14.2 billion to his net worth this year.",bezos wealth slump bn gate bn away rich amazon founder world rich person jeff bezos wealth slump nearly billion billion year accord bloomberg billionaire index world second rich person microsoft co founder bill gate billion wealth billion away regain world rich person title notably gate add billion net worth year
DGCA bans recalled 15-inch Apple MacBook Pro on flights over fire risk,"Directorate General of Civil Aviation has banned older generation 15-inch MacBook Pro laptops on flights after Apple's recall. Apple said the battery of affected laptops, sold primarily between September 2015 and February 2017, may overheat and pose a fire safety risk. These laptops can't be carried by travellers until the battery has been verified/certified as safe or replaced by Apple.",technology,"DGCA bans recalled 15-inch Apple MacBook Pro on flights over fire risk. Directorate General of Civil Aviation has banned older generation 15-inch MacBook Pro laptops on flights after Apple's recall. Apple said the battery of affected laptops, sold primarily between September 2015 and February 2017, may overheat and pose a fire safety risk. These laptops can't be carried by travellers until the battery has been verified/certified as safe or replaced by Apple.",dgca ban recall inch apple macbook pro flight fire risk directorate general civil aviation ban old generation inch macbook pro laptop flight apple recall apple say battery affected laptop sell primarily september february may overheat pose fire safety risk laptop not carry traveller battery verify certify safe replace apple
